seed,representation,model,candidate,validation_f1,n_train,n_test,n_features,accuracy,f1,sensitivity,specificity,precision,tn,fp,fn,tp
7,PaDEL,RandomForest,0,0.9523809523809523,730,183,1179,0.9453551912568307,0.9659863945578231,0.9861111111111112,0.7948717948717948,0.9466666666666667,31,8,2,142
8,PaDEL,RandomForest,1,0.9662162162162162,730,183,1182,0.9453551912568307,0.9652777777777778,0.9652777777777778,0.8717948717948718,0.9652777777777778,34,5,5,139
9,PaDEL,RandomForest,1,0.9724137931034482,730,183,1182,0.9508196721311475,0.9690721649484536,0.9791666666666666,0.8461538461538461,0.9591836734693877,33,6,3,141
10,PaDEL,RandomForest,1,0.9491525423728814,730,183,1182,0.912568306010929,0.9444444444444444,0.9444444444444444,0.7948717948717948,0.9444444444444444,31,8,8,136
11,PaDEL,RandomForest,1,0.962457337883959,730,183,1180,0.9234972677595629,0.952054794520548,0.9652777777777778,0.7692307692307693,0.9391891891891891,30,9,5,139
12,PaDEL,RandomForest,1,0.9533333333333334,730,183,1180,0.9453551912568307,0.9655172413793104,0.9722222222222222,0.8461538461538461,0.958904109589041,33,6,4,140
13,PaDEL,RandomForest,1,0.9391891891891891,730,183,1182,0.9234972677595629,0.952054794520548,0.9652777777777778,0.7692307692307693,0.9391891891891891,30,9,5,139
14,PaDEL,RandomForest,1,0.958904109589041,730,183,1182,0.9344262295081968,0.958904109589041,0.9722222222222222,0.7948717948717948,0.9459459459459459,31,8,4,140
15,PaDEL,RandomForest,1,0.9366197183098591,730,183,1182,0.9180327868852459,0.9480968858131488,0.9513888888888888,0.7948717948717948,0.9448275862068966,31,8,7,137
16,PaDEL,RandomForest,1,0.9448275862068966,730,183,1180,0.9562841530054644,0.972027972027972,0.9652777777777778,0.9230769230769231,0.9788732394366197,36,3,5,139
17,PaDEL,RandomForest,1,0.9655172413793104,730,183,1180,0.9234972677595629,0.9530201342281879,0.9861111111111112,0.6923076923076923,0.922077922077922,27,12,2,142
18,PaDEL,RandomForest,1,0.952054794520548,730,183,1180,0.9672131147540983,0.9793103448275862,0.9861111111111112,0.8974358974358975,0.9726027397260274,35,4,2,142
19,PaDEL,RandomForest,1,0.9759450171821306,730,183,1177,0.9180327868852459,0.9480968858131488,0.9513888888888888,0.7948717948717948,0.9448275862068966,31,8,7,137
20,PaDEL,RandomForest,0,0.9488054607508533,730,183,1179,0.9289617486338798,0.9556313993174061,0.9722222222222222,0.7692307692307693,0.9395973154362416,30,9,4,140
21,PaDEL,RandomForest,0,0.9556313993174061,730,183,1182,0.9508196721311475,0.9688581314878892,0.9722222222222222,0.8717948717948718,0.9655172413793104,34,5,4,140
22,PaDEL,RandomForest,0,0.9616724738675958,730,183,1182,0.9617486338797814,0.975609756097561,0.9722222222222222,0.9230769230769231,0.9790209790209791,36,3,4,140
23,PaDEL,RandomForest,0,0.9379310344827586,730,183,1182,0.9289617486338798,0.9553264604810997,0.9652777777777778,0.7948717948717948,0.9455782312925171,31,8,5,139
24,PaDEL,RandomForest,1,0.9556313993174061,730,183,1182,0.9508196721311475,0.9692832764505119,0.9861111111111112,0.8205128205128205,0.9530201342281879,32,7,2,142
25,PaDEL,RandomForest,1,0.9530201342281879,730,183,1177,0.9562841530054644,0.9724137931034482,0.9791666666666666,0.8717948717948718,0.9657534246575342,34,5,3,141
26,PaDEL,RandomForest,1,0.9480968858131488,730,183,1182,0.9234972677595629,0.9523809523809523,0.9722222222222222,0.7435897435897436,0.9333333333333333,29,10,4,140
27,PaDEL,RandomForest,1,0.9523809523809523,730,183,1180,0.9234972677595629,0.9513888888888888,0.9513888888888888,0.8205128205128205,0.9513888888888888,32,7,7,137
28,PaDEL,RandomForest,1,0.9556313993174061,730,183,1177,0.9234972677595629,0.952054794520548,0.9652777777777778,0.7692307692307693,0.9391891891891891,30,9,5,139
29,PaDEL,RandomForest,1,0.971830985915493,730,183,1182,0.9289617486338798,0.9553264604810997,0.9652777777777778,0.7948717948717948,0.9455782312925171,31,8,5,139
30,PaDEL,RandomForest,0,0.962457337883959,730,183,1182,0.9508196721311475,0.9690721649484536,0.9791666666666666,0.8461538461538461,0.9591836734693877,33,6,3,141
